nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,pmid
NCT04379492,,2020-05-05,,,2020-10-29,2020-05-06,2020-05-07,Actual,,,,,,,2020-10-29,2020-10-30,Actual,"May 5, 2020",Actual,2020-05-05,October 2020,2020-10-31,"September 25, 2020",Actual,2020-09-25,"September 25, 2020",Actual,2020-09-25,,Interventional,,,A Study of Hydroxycholoroquine Compared to Placebo as Treatment for People With COVID-19,"Single-center, Phase II, Randomized Double-blind, Placebo-controlled Study of Hydroxychloroquine Compared to Placebo as Treatment for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection",Withdrawn,,Phase 2,0,Actual,Memorial Sloan Kettering Cancer Center,,2,,Emerging evidence does not support the use of HCQ for treatment or prevention of SARS -CoV2 infection. No pts have been enrolled.,FALSE,,,,,TRUE,FALSE,,,,,,,,,Yes,"Memorial Sloan Kettering Cancer Center supports the international committee of medical journal editors (ICMJE) and the ethical obligation of responsible sharing of data from clinical trials. The protocol summary, a statistical summary, and informed consent form will be made available on clinicaltrials.gov when required as a condition of Federal awards, other agreements supporting the research and/or as otherwise required. Requests for deidentified individual participant data can be made beginning 12 months after publication and for up to 36 months post publication. Deidentified individual participant data reported in the manuscript will be shared under the terms of a Data Use Agreement and may only be used for approved proposals. Requests may be made to: crdatashare@mskcc.org.",2022-06-11 18:12:52,2022-06-11 18:12:52,,,,,,
NCT04351724,,2020-04-10,,,2021-02-25,2020-04-16,2020-04-17,Actual,,,,,,,2021-02-25,2021-03-02,Actual,"April 16, 2020",Actual,2020-04-16,February 2021,2021-02-28,"March 31, 2022",Anticipated,2022-03-31,"December 1, 2021",Anticipated,2021-12-01,,Interventional,ACOVACT,,Austrian CoronaVirus Adaptive Clinical Trial (COVID-19),"A Multicenter, Randomized, Active Controlled, Open Label, Platform Trial on the Efficacy and Safety of Experimental Therapeutics for Patients With COVID-19 (Caused by Infection With Severe Acute Respiratory Syndrome Coronavirus-2)",Recruiting,,Phase 2/Phase 3,500,Anticipated,Medical University of Vienna,,14,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,Anonymized and pseudonymized data will be published in peer reviewed journals and may be presented at congresses and conferences,2022-06-11 18:28:15,2022-06-11 18:28:15,,,,,,35141170
NCT04344210,,2020-04-07,,,2020-10-11,2020-04-10,2020-04-14,Actual,,,,,,,2020-10-11,2020-10-14,Actual,"April 17, 2020",Actual,2020-04-17,October 2020,2020-10-31,"September 20, 2020",Actual,2020-09-20,"September 20, 2020",Actual,2020-09-20,,Interventional,,,Impact of Tele-interventions During the COVID-19 Pandemic in Patients With Diabetes Mellitus,Impact of Tele-Interventions During the COVID-19 Pandemic on Glycemic Control and Attitude Toward the Disease in Patients With Diabetes Mellitus - A Randomized Clinical Trial,Completed,,Not Applicable,149,Actual,Federal University of Rio Grande do Sul,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,Yes,,2022-06-11 18:33:05,2022-06-11 18:33:05,,,,,,35595850
NCT04332809,,2020-04-01,,,2020-04-01,2020-04-01,2020-04-03,Actual,,,,,,,2020-04-01,2020-04-03,Actual,"January 1, 2019",Actual,2019-01-01,March 2020,2020-03-31,"April 30, 2020",Anticipated,2020-04-30,"March 31, 2020",Actual,2020-03-31,,Interventional,,,A Randomized Controlled Trial on Wound Irrigation in Open Appendectomy.,A Randomized Controlled Trial on Irrigation of Open Appendectomy Wound With Gentamicin- Saline Solution Versus Saline Solution for Prevention of Surgical Site Infection.,Unknown status,"Active, not recruiting",Not Applicable,208,Anticipated,Mansoura University,,3,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,2022-06-11 18:39:27,2022-06-11 18:39:27,,,,,,
NCT04290832,,2020-02-27,,,2020-07-27,2020-02-27,2020-03-02,Actual,,,,,,,2020-07-27,2020-07-29,Actual,"February 13, 2020",Actual,2020-02-13,July 2020,2020-07-31,"June 30, 2020",Actual,2020-06-30,"March 17, 2020",Actual,2020-03-17,,Interventional,,,Developing and Testing Interventions to Address Conscientious Objection to Abortion Care in Mexico and South Africa,Developing and Testing Interventions to Address Use of Conscientious Objection to Deny Women's Access to Abortion Care in Mexico and South Africa,Terminated,,Not Applicable,317,Actual,Ipas,,2,,The study was stopped prematurely due to the COVID-19 pandemic,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,2022-06-11 19:02:48,2022-06-11 19:02:48,,,,,,
NCT04278976,,2020-02-19,,,2020-02-19,2020-02-19,2020-02-20,Actual,,,,,,,2020-02-19,2020-02-20,Actual,"February 1, 2019",Actual,2019-02-01,February 2020,2020-02-29,"January 31, 2021",Anticipated,2021-01-31,"January 31, 2021",Anticipated,2021-01-31,,Interventional,COBALIDATION,,Effect of a Competence Based Medical Education Programme on Training Quality in Intensive Care Medicine.,Effect of a Competence Based Medical Education Programme on Training Quality in Intensive Care Medicine. COBALIDATION TRIAL.,Unknown status,"Active, not recruiting",Not Applicable,38,Actual,Instituto de Investigacion Sanitaria La Fe,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,,2022-06-11 19:09:18,2022-06-11 19:09:18,,,,,,31374210
NCT04278547,,2020-02-18,,,2020-12-22,2020-02-19,2020-02-20,Actual,,,,,,,2020-12-22,2020-12-23,Actual,"June 12, 2020",Actual,2020-06-12,December 2020,2020-12-31,"March 25, 2023",Anticipated,2023-03-25,"March 25, 2022",Anticipated,2022-03-25,,Interventional,ELISPOT-TC,,"Multicenter Clinical Trial to Evaluate the Efficacy of a Preventive Strategy Against CMV Infection in Heart Transplant Patients, Based on the Specific T Cells Response","Phase IV Clinical Trial, Open, Randomized, Controlled and Multicentric, With Two Parallel Groups, to Assess the Efficacy of a Preventive Strategy Against Cytomegalovirus Infection in Heart Transplant Patients, Based on the Specific Basal T Cell Response Against Cytomegalovirus: ELISPOT-TC",Recruiting,,Phase 4,188,Anticipated,Hospital Universitari de Bellvitge,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,,,2022-06-11 19:09:38,2022-06-11 19:09:38,,,,,,
NCT04276688,,2020-02-11,,,2020-04-13,2020-02-17,2020-02-19,Actual,,,,,,,2020-04-13,2020-04-15,Actual,"February 10, 2020",Actual,2020-02-10,April 2020,2020-04-30,"March 31, 2020",Actual,2020-03-31,"March 30, 2020",Actual,2020-03-30,,Interventional,,,"Lopinavir/ Ritonavir, Ribavirin and IFN-beta Combination for nCoV Treatment","An Open-label Randomized Controlled Trial on Lopinavir/ Ritonavir, Ribavirin and Interferon Beta 1b Combination Versus Lopinavir/ Ritonavir Alone, as Treatment for 2019 Novel Coronavirus Infection",Completed,,Phase 2,127,Actual,The University of Hong Kong,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,,2022-06-11 19:10:28,2022-06-11 19:10:28,,,,,,32555385
NCT03796936,,2019-01-03,,,2019-01-24,2019-01-07,2019-01-08,Actual,,,,,,,2019-01-24,2019-01-25,Actual,"January 11, 2019",Actual,2019-01-11,January 2019,2019-01-31,December 2020,Anticipated,2020-12-31,December 2020,Anticipated,2020-12-31,,Interventional,3MDR,,3MDR to Treat PTSD With mTBI (3MDR),"Clinical Trial of 3MDR to Treat PTSD With mTBI, With and Without Eye Movement (3MDR)",Unknown status,Recruiting,Phase 2,20,Anticipated,Walter Reed National Military Medical Center,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,"Data will be made available after the completion of the study and destruction of links to personal identifying information, and then will be available indefinitely.",,https://fitbir.nih.gov/,Yes,De-identified data will be made available via the Federal Interagency TBI Registry (FITBIR) after the study has been completed and all links to personal identifying information have been destroyed.,2022-06-12 3:20:32,2022-06-12 3:20:32,,,,,,
NCT04275648,,2020-01-27,,,2020-12-30,2020-02-17,2020-02-19,Actual,,,,,,,2020-12-30,2021-01-05,Actual,"December 1, 2020",Actual,2020-12-01,December 2020,2020-12-31,"June 1, 2022",Anticipated,2022-06-01,"June 1, 2022",Anticipated,2022-06-01,,Interventional,EIB,,Exercise Induced Bronchoconstriction and Field Tests,Evaluation of Exercise Induced Bronchoconstriction by Field Test Using Lung Function and a Novel Automated Digital Clinical Decision System,Recruiting,,Not Applicable,60,Anticipated,Karolinska Institutet,,1,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,,,2022-06-11 19:10:58,2022-06-11 19:10:58,,,,,,8257888
NCT04532762,,2020-08-21,,,2021-02-19,2020-08-26,2020-08-31,Actual,,,,,,,2021-02-19,2021-02-21,Actual,"August 4, 2020",Actual,2020-08-04,August 2020,2020-08-31,"December 31, 2020",Actual,2020-12-31,"December 31, 2020",Actual,2020-12-31,,Interventional,,,"Demonstration of a Decongestant Effect of ""Coldamaris Akut"" Compared to Saline Nasal Spray.","Demonstration of a Decongestant Effect of ""Coldamaris Akut"" Compared to Saline Nasal Spray in Subjects Suffering From Grass Pollen Induced Rhinitis/Rhinoconjunctivitis.",Completed,,Not Applicable,42,Actual,Marinomed Biotech AG,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,,,2022-06-25 16:04:09,2022-06-25 16:04:09,INDUSTRY,,,,,
NCT04532710,,2020-08-21,,,2021-03-11,2020-08-26,2020-08-31,Actual,,,,,,,2021-03-11,2021-03-12,Actual,"August 4, 2020",Actual,2020-08-04,March 2021,2021-03-31,"October 31, 2021",Anticipated,2021-10-31,"August 31, 2021",Anticipated,2021-08-31,,Interventional,,,Therapeutic Effect of Tacrosolv in Patients With Allergic Rhinoconjunctivitis,Clinical Evaluation of Two Different Dosage Groups of Tacrosolv Eye Drops in a Placebo Controlled Crossover Design to Evaluate Safety and Efficacy in Patients Suffering From Grass Pollen Induced Allergic Rhinoconjunctivitis in the Vienna Challenge Chamber.,"Active, not recruiting",,Phase 2,64,Anticipated,Marinomed Biotech AG,,4,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,2022-06-25 16:04:11,2022-06-25 16:04:11,INDUSTRY,,,,,
NCT04267822,,2020-02-05,,,2021-10-04,2020-02-11,2020-02-13,Actual,,,,,,,2021-10-04,2021-10-05,Actual,"June 15, 2020",Actual,2020-06-15,October 2021,2021-10-31,"July 31, 2023",Anticipated,2023-07-31,"June 30, 2023",Anticipated,2023-06-30,,Interventional,REVIRAL2,,Study of RV521 in the Treatment of Adult Subjects Who Have Undergone HCT With an URTI With RSV,"Randomized, Double-blind, Placebo-controlled Trial of the Safety, Tolerability, and Efficacy of RV521 in the Treatment of Adult Subjects Who Have Undergone Hematopoietic Cell Transplantation (HCT) With a Documented Upper Respiratory Tract Infection (URTI) With Respiratory Syncytial Virus (RSV)",Recruiting,,Phase 2,200,Anticipated,ReViral Ltd,,2,,,FALSE,,,,TRUE,TRUE,FALSE,,,,,,,,,No,,2022-06-11 19:15:17,2022-06-11 19:15:17,,,,,,
NCT04261036,,2020-02-06,,,2020-02-06,2020-02-06,2020-02-07,Actual,,,,,,,2020-02-06,2020-02-07,Actual,"July 20, 2019",Actual,2019-07-20,February 2020,2020-02-29,"October 1, 2020",Anticipated,2020-10-01,"July 1, 2020",Anticipated,2020-07-01,,Interventional,,,Vitamin C for the Prevention of UTI in Women Who Undergo Elective Gynecological Surgeries,Vitamin C for the Prevention of Catheter-associated Urinary Tract Infections in Women Who Undergo Elective Gynecological Surgeries: a Study Protocol for a Randomized Double Blinded Controlled Trial.,Unknown status,Recruiting,Early Phase 1,200,Anticipated,American University of Beirut Medical Center,,2,,,FALSE,,,,FALSE,TRUE,FALSE,,,TRUE,,,,,,No,,2022-06-11 19:18:58,2022-06-11 19:18:58,,,,,,25882919
NCT04256954,,2020-01-06,,,2020-02-04,2020-02-04,2020-02-05,Actual,,,,,,,2020-02-04,2020-02-05,Actual,"March 2, 2020",Anticipated,2020-03-02,February 2020,2020-02-29,"October 1, 2022",Anticipated,2022-10-01,"April 1, 2022",Anticipated,2022-04-01,,Interventional,,,Peer Navigation for Individuals With Serious Mental Illness Leaving Jail,Peer Navigation for Individuals With Serious Mental Illness Leaving Jail,Not yet recruiting,,Phase 1,40,Anticipated,Michigan State University,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,,2022-06-11 19:21:00,2022-06-11 19:21:00,,,,,,
NCT03833271,,2019-01-21,,,2020-06-15,2019-02-05,2019-02-06,Actual,,,,,,,2020-06-15,2020-06-17,Actual,"October 28, 2018",Actual,2018-10-28,June 2020,2020-06-30,"September 30, 2019",Actual,2019-09-30,"September 30, 2019",Actual,2019-09-30,,Interventional,,,The Efficacy of Influenza Vaccine Program in Children With Juvenile Idiopathic Arthritis. A Single Centre Results From Hungary,The Investigation of Immune Function and the Effectiveness of Influenza Vaccine in Children With Juvenile Idiopathic Arthritis Compared to Healthy Control,Completed,,Early Phase 1,62,Actual,University of Pecs,,3,,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,2022-06-12 2:58:05,2022-06-12 2:58:05,,,,,,33363071
NCT04531774,,2020-08-26,,,2020-10-14,2020-08-27,2020-08-28,Actual,,,,,,,2020-10-14,2020-10-19,Actual,"August 28, 2020",Actual,2020-08-28,October 2020,2020-10-31,"June 1, 2021",Anticipated,2021-06-01,"June 1, 2021",Anticipated,2021-06-01,,Interventional,,,RECHARGE: A Brief Psychological Intervention to Build Resilience in Healthcare Workers During COVID-19,RECHARGE: A Brief Psychological Intervention to Build Resilience in Healthcare Workers During COVID-19,Recruiting,,Not Applicable,160,Anticipated,University of Zurich,,2,,,FALSE,,,,,FALSE,FALSE,,,,,,One year after conclusion of the study.,,,Yes,"We follow open science practices and will use open access journals and repositories to publish results, anonymized original data, and meta-data describing the data and procedures (e.g., study protocol, statistical codes, instructions concerning the use of the data) to ensure full transparency and reproducibility.",2022-06-25 16:04:51,2022-06-25 16:04:51,OTHER,,,,,6880820
NCT05361811,,2022-05-03,,,2022-06-24,2022-05-04,2022-05-05,Actual,,,,,,,2022-06-24,2022-06-27,Estimate,"June 30, 2022",Anticipated,2022-06-30,"May 5, 2022",2022-05-05,"October 1, 2024",Anticipated,2024-10-01,"July 1, 2024",Anticipated,2024-07-01,,Interventional,,,Acceptance and Commitment Therapy for Caregivers of Children With a RASopathy: An Internal Pilot Feasibility Study and Follow-up Randomized Controlled Trial,Acceptance and Commitment Therapy for Caregivers of Children With a RASopathy: An Internal Pilot Feasibility Study and Follow-up Phase III Randomized Controlled Trial,Not yet recruiting,,Not Applicable,70,Anticipated,National Institutes of Health Clinical Center (CC),,3,,,FALSE,,,,,FALSE,FALSE,,,,,,Clinical data available during the study and indefinitely.,Clinical data will be made available via subscription to BTRIS and with the permission of the study PI.,,Yes,.All IPD recorded in the medical record will be shared with intramural investigators upon request.,2022-06-28 4:27:34,2022-06-28 4:27:34,NIH,,,,,
NCT03668223,,2018-08-15,,,2022-06-07,2018-09-10,2018-09-12,Actual,,,,,,,2022-06-07,2022-06-09,Estimate,"April 15, 2019",Actual,2019-04-15,June 2022,2022-06-30,"July 31, 2024",Anticipated,2024-07-31,"January 31, 2024",Anticipated,2024-01-31,,Interventional,,,The Promoting Resilience in Stress Management (PRISM) Intervention: a Multi-site Randomized Controlled Trial for Adolescents and Young Adults With Advanced Cancer,The Promoting Resilience in Stress Management (PRISM) Intervention: a Multi-site Randomized Controlled Trial for Adolescents and Young Adults With Advanced Cancer,Recruiting,,Phase 3,195,Anticipated,Seattle Children's Hospital,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,All IPD will be deidentified and stored securely on local servers,2022-06-10 3:44:41,2022-06-10 3:44:41,,,,,,
NCT05095272,,2021-10-26,,,2022-06-24,2021-10-26,2021-10-27,Actual,,,,,,,2022-06-24,2022-06-27,Estimate,"February 15, 2022",Actual,2022-02-15,"June 1, 2022",2022-06-01,"June 30, 2022",Anticipated,2022-06-30,"June 30, 2022",Anticipated,2022-06-30,,Interventional,,,Blood-Stage Plasmodium Vivax Cell Bank,Induced Blood-Stage Plasmodium Vivax Infection With HMPBS02-Pv Challenge Agent in Healthy Malaria-Naive Adults to Produce a Plasmodium Vivax Parasite Cell Bank for Future Studies,Recruiting,,Phase 1,50,Anticipated,National Institutes of Health Clinical Center (CC),,1,,,FALSE,,,,,TRUE,FALSE,,,,,,,,,No,,2022-06-28 4:48:59,2022-06-28 4:48:59,NIH,,,,,32045385
NCT04250428,,2020-01-29,,,2020-02-01,2020-01-29,2020-01-31,Actual,,,,,,,2020-02-01,2020-02-05,Actual,February 2020,Anticipated,2020-02-29,February 2020,2020-02-29,December 2021,Anticipated,2021-12-31,May 2021,Anticipated,2021-05-31,,Interventional,AIFASMaP,,Strategies to Increase Antenatal Iron and Folic Acid Supplementation and Malaria Prophylaxis,Strategies to Increase Antenatal Iron and Folic Acid Supplementation and Malaria Prophylaxis in Rural South-central Côte d'Ivoire: Study Protocol of a Cluster Randomised Controlled Trial,Unknown status,Not yet recruiting,Not Applicable,720,Anticipated,Centre Suisse de Recherches Scientifiques en Cote d'Ivoire,,3,,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,2022-06-11 19:33:05,2022-06-11 19:33:05,,,,,,33109138
NCT04249817,,2019-09-17,,,2021-07-08,2020-01-28,2020-01-31,Actual,,,,,,,2021-07-08,2021-07-14,Actual,"September 5, 2019",Actual,2019-09-05,July 2021,2021-07-31,"June 30, 2020",Actual,2020-06-30,"June 30, 2020",Actual,2020-06-30,,Interventional,ACPAC,,Keeping Stable Inflammatory Arthritis Patients in Their Communities With the Advanced Clinician Practitioner in Arthritis Care,Keeping Stable Inflammatory Arthritis Patients in Their Communities With the Advanced Clinician Practitioner in Arthritis Care (ACPAC),Terminated,,Not Applicable,15,Actual,Sunnybrook Health Sciences Centre,,2,,Usual care was no longer possible with COVID19 and we no longer had a control for this study.,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,2022-06-11 19:33:30,2022-06-11 19:33:30,,,,,,
NCT04810689,,2021-03-17,,,2022-06-20,2021-03-19,2021-03-23,Actual,,,,,,,2022-06-20,2022-06-27,Estimate,"March 1, 2021",Actual,2021-03-01,June 2022,2022-06-30,"June 20, 2022",Actual,2022-06-20,"June 20, 2022",Actual,2022-06-20,,Interventional,,,"Pilot Trial of XFBD, a TCM, in Persons With COVID-19","A Randomized, Double-Blind, Placebo-Control Pilot Trial of Xuanfei Baidu Granules (XFBD), a Traditional Chinese Medicine (TCM), in Persons With COVID-19",Terminated,,Phase 2,5,Actual,University of Southern California,,2,,Futile Enrollment,FALSE,,,,TRUE,TRUE,FALSE,,,,,,,,,,,2022-06-28 5:17:48,2022-06-28 5:17:48,OTHER,,,,,
NCT04246151,,2020-01-20,,,2020-01-28,2020-01-28,2020-01-29,Actual,,,,,,,2020-01-28,2020-01-29,Actual,March 2020,Anticipated,2020-03-31,January 2020,2020-01-31,March 2021,Anticipated,2021-03-31,January 2021,Anticipated,2021-01-31,,Interventional,Decency-RCT,,Oral Vancomycin Versus Probiotics Versus Placebo for Prevention of Clostridium Difficile Infection in Colonized Patients,Oral Vancomycin Versus Probiotics Versus Placebo for Prevention of Clostridium Difficile Infection in Colonized Patients (Decency-RCT): A Randomized Controlled Pilot Trial,Unknown status,Not yet recruiting,Early Phase 1,100,Anticipated,Hamilton Health Sciences Corporation,,3,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,No individual participant data will be shared with researchers that are not directly involved in this study. Overall data will be shared in the context of peer reviewed journal publications or scientific presentations.,2022-06-11 19:35:37,2022-06-11 19:35:37,,,,,,
NCT04502030,,2020-08-04,,,2022-06-21,2020-08-04,2020-08-06,Actual,,,,,,,2022-06-21,2022-06-27,Estimate,"October 5, 2020",Actual,2020-10-05,June 2022,2022-06-30,October 2024,Anticipated,2024-10-31,October 2024,Anticipated,2024-10-31,,Interventional,,,"Double-blind, Randomized, Placebo-controlled, Prospective Phase III Study Evaluating Efficacy and Safety of Panzyga in Primary Infection Prophylaxis in Patients With Chronic Lymphocytic Leukemia (""PRO-SID"" Study)","Double-blind, Randomized, Placebo-controlled, Prospective Phase III Study Evaluating Efficacy and Safety of Panzyga in Primary Infection Prophylaxis in Patients With Chronic Lymphocytic Leukemia (""PRO-SID"" Study)",Recruiting,,Phase 3,240,Anticipated,Octapharma,,2,,,FALSE,,,,,TRUE,FALSE,,,FALSE,,,,,,No,,2022-06-28 5:47:22,2022-06-28 5:47:22,INDUSTRY,,,,,
NCT03635060,,2018-08-09,,,2020-01-07,2018-08-14,2018-08-17,Actual,,,,,,,2020-01-07,2020-01-10,Actual,"September 12, 2018",Actual,2018-09-12,January 2020,2020-01-31,"December 31, 2020",Anticipated,2020-12-31,"August 30, 2020",Anticipated,2020-08-30,,Interventional,DORSAL,,Distraction Osteogenesis for Distal Radius Fractures vs. Volar Plating,Distraction Osteogenesis for Distal Radius Fractures vs. Volar Plating,Unknown status,Recruiting,Not Applicable,20,Anticipated,Sunnybrook Health Sciences Centre,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,2022-06-22 9:58:31,2022-06-22 9:58:31,,,,,,
NCT03831269,,2019-01-25,,,2019-02-03,2019-02-03,2019-02-05,Actual,,,,,,,2019-02-03,2019-02-05,Actual,February 2019,Anticipated,2019-02-28,February 2019,2019-02-28,August 2020,Anticipated,2020-08-31,June 2020,Anticipated,2020-06-30,,Interventional,,,"Pityriasis Lichenoides Chronica, Role of Streptococcal Infection and Azithromycin",Role of Streptococcal Infection in the Etiopathogenesis of Pityriasis Lichenoides Chronica and the Therapeutic Efficacy of Azithromycin; a Randomized Controlled Trial,Unknown status,Not yet recruiting,Not Applicable,30,Anticipated,Cairo University,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,Email contact,2022-06-12 2:59:03,2022-06-12 2:59:03,,,,,,
NCT04238689,,2019-12-23,,,2021-04-20,2020-01-22,2020-01-23,Actual,,,,,,,2021-04-20,2021-04-21,Actual,"February 14, 2020",Actual,2020-02-14,January 2021,2021-01-31,"March 4, 2021",Actual,2021-03-04,"March 4, 2021",Actual,2021-03-04,,Interventional,TB31F,,"Safety, Tolerability, and Pharmacokinetics and Pharmacodynamics of TB31F","Phase 1 Study to Evaluate the Safety, Tolerability, and Pharmacokinetics and Pharmacodynamics of Monoclonal Antibody TB31F in Healthy Malaria-naïve Adults in the Netherlands",Completed,,Phase 1,25,Actual,Radboud University Medical Center,,5,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,,,2022-06-11 19:39:19,2022-06-11 19:39:19,,,,,,
NCT04236167,,2020-01-12,,,2021-10-02,2020-01-16,2020-01-22,Actual,,,,,,,2021-10-02,2021-10-08,Actual,"November 1, 2020",Actual,2020-11-01,October 2021,2021-10-31,September 2023,Anticipated,2023-09-30,March 2023,Anticipated,2023-03-31,,Interventional,,,Fractional CO2 Laser Treatment of Hypertrophic Scars,Evaluating the Efficacy of an Ablative Fractional Carbon Dioxide Laser on Pathologic Symptoms in Pediatric Hypertrophic Scars: a Prospective Split-scar Controlled Trial,Recruiting,,Not Applicable,44,Anticipated,University of Calgary,,2,,,FALSE,,,,TRUE,FALSE,TRUE,,,TRUE,,,,,,No,Final results,2022-06-11 19:40:42,2022-06-11 19:40:42,,,,,,31469749
NCT03835767,,2019-02-08,,,2022-06-24,2019-02-08,2019-02-11,Actual,,,,,,,2022-06-24,2022-06-27,Estimate,"April 19, 2019",Actual,2019-04-19,"January 20, 2022",2022-01-20,"December 31, 2027",Anticipated,2027-12-31,"December 31, 2027",Anticipated,2027-12-31,,Interventional,,,Food-Specific and Component IgE Threshold Levels That Predict Food Allergy in People With Elevated Total Serum IgE Levels and Atopic Dermatitis,Prospective Study to Identify Food-Specific and Component IgE Threshold Levels That Predict Food Allergy in Patients With Elevated Total Serum IgE Levels and Atopic Dermatitis,Recruiting,,Phase 2,200,Anticipated,National Institutes of Health Clinical Center (CC),,4,,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,2022-06-28 6:33:48,2022-06-28 6:33:48,NIH,,,,,25577618
NCT04229251,,2019-12-29,,,2020-08-19,2020-01-10,2020-01-18,Actual,,,,,,,2020-08-19,2020-08-21,Actual,"October 15, 2020",Anticipated,2020-10-15,January 2020,2020-01-31,"December 30, 2021",Anticipated,2021-12-30,"June 30, 2021",Anticipated,2021-06-30,,Interventional,iMBI,,Online Mindfulness-Based Intervention for ADHD,Efficacy of Online Mindfulness-Based Intervention on Emerging Malaysian Chinese Adults With Attention Deficit/Hyperactivity Disorder: A Randomized Controlled Trial,Unknown status,Enrolling by invitation,Not Applicable,108,Anticipated,Universiti Tunku Abdul Rahman,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,Data will be made available after December 2022.,"Data collected from this study, including de-identified individual participant data, will be made available upon publication to members of the scientific and medical community for non-commercial use only, upon email request to the corresponding author. The study protocol, statistical analysis plan, and informed consent forms are available on ClinicalTrials.gov.",,Yes,All outcome measures data may be shared OSF Platform after the publications.,2022-06-11 19:44:33,2022-06-11 19:44:33,,,,,,33573341
NCT04227665,,2018-05-07,,,2021-09-28,2020-01-09,2020-01-14,Actual,,,,,,,2021-09-28,2021-09-29,Actual,"March 1, 2018",Actual,2018-03-01,September 2021,2021-09-30,"May 30, 2023",Anticipated,2023-05-30,"June 26, 2019",Actual,2019-06-26,,Interventional,,,Identifying Biological Markers for Altitude Exposure and Use of Recombinant Human Erythropoietin (rHuEPO),Identification of Biological Markers for Hypoxic Exposure and Use of Recombinant Human Erythropoietin,"Active, not recruiting",,Not Applicable,40,Anticipated,University of Copenhagen,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,Undecided,Fully anonymous data will be shared with other researchers.,2022-06-11 19:45:32,2022-06-11 19:45:32,,,,,,
NCT03351764,,2017-11-22,,,2022-06-24,2017-11-22,2017-11-24,Actual,,,,,,,2022-06-24,2022-06-27,Estimate,"January 11, 2018",Actual,2018-01-11,"June 17, 2022",2022-06-17,"March 1, 2029",Anticipated,2029-03-01,"January 1, 2029",Anticipated,2029-01-01,,Interventional,,,Development of Non-Invasive Brain Stimulation Techniques,Development of Non-Invasive Brain Stimulation Techniques,Recruiting,,Not Applicable,180,Anticipated,National Institutes of Health Clinical Center (CC),,2,,,FALSE,,,,,FALSE,FALSE,,,,,,,,,Undecided,".We could do this, but it has not been set up yet.",2022-06-28 6:55:13,2022-06-28 6:55:13,NIH,,,,,
