title,param_value,param_type,nct_id,classification,subjects_affected,,subjects_at_risk,event_count,adverse_event_term,,,
,,,NCT03691623,,0,,21,0,Decreased appetite,,,
,,,NCT03691623,,1,1,38,1,Back pain,,,
,,,NCT03691623,,0,,38,0,Back pain,,,
,,,NCT03691623,,1,1,38,1,Back pain,,,
,,,NCT03691623,,0,,21,0,Back pain,,,
,,,NCT03691623,,0,,21,0,Back pain,,,
,,,NCT03691623,,0,,21,0,Back pain,,,
,,,NCT03691623,,0,,38,0,Muscle spasms,,,
,,,NCT03691623,,1,1,38,1,Muscle spasms,,,
,,,NCT03691623,,1,1,38,2,Muscle spasms,,,
,,,NCT03691623,,0,,21,0,Muscle spasms,,,
,,,NCT03691623,,0,,21,0,Muscle spasms,,,
,,,NCT03691623,,0,,21,0,Muscle spasms,,,
,,,NCT03691623,,1,1,38,1,Musculoskeletal chest pain,,,
,,,NCT03691623,,0,,38,0,Musculoskeletal chest pain,,,
,,,NCT03691623,,0,,38,0,Musculoskeletal chest pain,,,
,,,NCT03691623,,0,,21,0,Musculoskeletal chest pain,,,
,,,NCT03691623,,2,1,21,2,Musculoskeletal chest pain,,,
,,,NCT03691623,,0,,21,0,Musculoskeletal chest pain,,,
,,,NCT03691623,,0,,38,0,Neck pain,,,
,,,NCT03691623,,1,1,38,1,Neck pain,,,
,,,NCT03691623,,1,1,38,1,Neck pain,,,
,,,NCT03691623,,0,,21,0,Neck pain,,,
,,,NCT03691623,,0,,21,0,Neck pain,,,
,,,NCT03691623,,0,,21,0,Neck pain,,,
,,,NCT03691623,,0,,38,0,Musculoskeletal pain,,,
,,,NCT03691623,,0,,38,0,Musculoskeletal pain,,,
,,,NCT03691623,,0,,38,0,Musculoskeletal pain,,,
,,,NCT03691623,,1,1,21,1,Musculoskeletal pain,,,
,,,NCT03691623,,0,,21,0,Musculoskeletal pain,,,
,,,NCT03691623,,0,,21,0,Musculoskeletal pain,,,
,,,NCT03691623,,0,,38,0,Ligament sprain,,,
,,,NCT03691623,,0,,38,0,Ligament sprain,,,
,,,NCT03691623,,0,,38,0,Ligament sprain,,,
,,,NCT03691623,,0,,21,0,Ligament sprain,,,
,,,NCT03691623,,1,1,21,1,Ligament sprain,,,
,,,NCT03691623,,0,,21,0,Ligament sprain,,,
,,,NCT03691623,,0,,38,0,Soft tissue injury,,,
,,,NCT03691623,,0,,38,0,Soft tissue injury,,,
,,,NCT03691623,,0,,38,0,Soft tissue injury,,,
,,,NCT03691623,,0,,21,0,Soft tissue injury,,,
,,,NCT03691623,,1,1,21,1,Soft tissue injury,,,
,,,NCT03691623,,0,,21,0,Soft tissue injury,,,
,,,NCT03691623,,4,1,38,4,Dizziness,,,
,,,NCT03691623,,0,,38,0,Dizziness,,,
,,,NCT03691623,,1,1,38,1,Dizziness,,,
,,,NCT03691623,,0,,21,0,Dizziness,,,
,,,NCT03691623,,2,1,21,2,Dizziness,,,
,,,NCT03691623,,1,1,21,1,Dizziness,,,
,,,NCT03691623,,4,1,38,5,Headache,,,
,,,NCT03691623,,1,1,38,2,Headache,,,
,,,NCT03691623,,3,1,38,3,Headache,,,
,,,NCT03691623,,0,,21,0,Headache,,,
,,,NCT03691623,,1,1,21,1,Headache,,,
,,,NCT03691623,,2,1,21,2,Headache,,,
,,,NCT03691623,,1,1,38,1,Dysmenorrhoea,,,
,,,NCT03691623,,1,1,38,1,Dysmenorrhoea,,,
,,,NCT03691623,,0,,38,0,Dysmenorrhoea,,,
,,,NCT03691623,,0,,21,0,Dysmenorrhoea,,,
,,,NCT03691623,,0,,21,0,Dysmenorrhoea,,,
,,,NCT03691623,,0,,21,0,Dysmenorrhoea,,,
,,,NCT03691623,,0,,38,0,Epistaxis,,,
,,,NCT03691623,,0,,38,0,Epistaxis,,,
,,,NCT03691623,,1,1,38,1,Epistaxis,,,
,,,NCT03691623,,0,,21,0,Epistaxis,,,
,,,NCT03691623,,0,,21,0,Epistaxis,,,
,,,NCT03691623,,1,1,21,1,Epistaxis,,,
,,,NCT03691623,,0,,38,0,Oropharyngeal pain,,,
,,,NCT03691623,,1,1,38,1,Oropharyngeal pain,,,
,,,NCT03691623,,0,,38,0,Oropharyngeal pain,,,
,,,NCT03691623,,0,,21,0,Oropharyngeal pain,,,
,,,NCT03691623,,1,1,21,1,Oropharyngeal pain,,,
,,,NCT03691623,,0,,21,0,Oropharyngeal pain,,,
,,,NCT03691623,,0,,38,0,Throat irritation,,,
,,,NCT03691623,,1,1,38,1,Throat irritation,,,
,,,NCT03691623,,0,,38,0,Throat irritation,,,
,,,NCT03691623,,0,,21,0,Throat irritation,,,
,,,NCT03691623,,0,,21,0,Throat irritation,,,
,,,NCT03691623,,0,,21,0,Throat irritation,,,
,,,NCT03691623,,0,,38,0,Dyspnoea,,,
,,,NCT03691623,,0,,38,0,Dyspnoea,,,
,,,NCT03691623,,0,,38,0,Dyspnoea,,,
,,,NCT03691623,,1,1,21,1,Dyspnoea,,,
,,,NCT03691623,,0,,21,0,Dyspnoea,,,
,,,NCT03691623,,0,,21,0,Dyspnoea,,,
,,,NCT03691623,,0,,38,0,Nasal congestion,,,
,,,NCT03691623,,0,,38,0,Nasal congestion,,,
,,,NCT03691623,,0,,38,0,Nasal congestion,,,
,,,NCT03691623,,0,,21,0,Nasal congestion,,,
,,,NCT03691623,,1,1,21,1,Nasal congestion,,,
,,,NCT03691623,,0,,21,0,Nasal congestion,,,
,,,NCT03691623,,0,,38,0,Dry skin,,,
,,,NCT03691623,,1,1,38,1,Dry skin,,,
,,,NCT03691623,,0,,38,0,Dry skin,,,
,,,NCT03691623,,1,1,21,1,Dry skin,,,
,,,NCT03691623,,0,,21,0,Dry skin,,,
,,,NCT03691623,,0,,21,0,Dry skin,,,
,,,NCT03691623,,0,,38,0,Rash,,,
,,,NCT03691623,,0,,38,0,Rash,,,
,,,NCT03691623,,2,1,38,2,Rash,,,
,,,NCT03691623,,0,,21,0,Rash,,,
,,,NCT03691623,,0,,21,0,Rash,,,
,,,NCT03691623,,1,1,21,1,Rash,,,
,,,NCT03691623,,0,,38,0,Rash papular,,,
,,,NCT03691623,,1,1,38,1,Rash papular,,,
,,,NCT03691623,,0,,38,0,Rash papular,,,
,,,NCT03691623,,0,,21,0,Rash papular,,,
,,,NCT03691623,,0,,21,0,Rash papular,,,
,,,NCT03691623,,0,,21,0,Rash papular,,,
,,,NCT03691623,,0,,38,0,Skin irritation,,,
,,,NCT03691623,,0,,38,0,Skin irritation,,,
,,,NCT03691623,,2,1,38,2,Skin irritation,,,
,,,NCT03691623,,0,,21,0,Skin irritation,,,
,,,NCT03691623,,0,,21,0,Skin irritation,,,
,,,NCT03691623,,0,,21,0,Skin irritation,,,
,,,NCT03691623,,0,,38,0,Dermatitis contact,,,
,,,NCT03691623,,0,,38,0,Dermatitis contact,,,
,,,NCT03691623,,0,,38,0,Dermatitis contact,,,
,,,NCT03691623,,0,,21,0,Dermatitis contact,,,
,,,NCT03691623,,0,,21,0,Dermatitis contact,,,
,,,NCT03691623,,1,1,21,1,Dermatitis contact,,,
,,,NCT03691623,,0,,38,0,Petechiae,,,
,,,NCT03691623,,0,,38,0,Petechiae,,,
,,,NCT03691623,,0,,38,0,Petechiae,,,
,,,NCT03691623,,1,1,21,1,Petechiae,,,
,,,NCT03691623,,0,,21,0,Petechiae,,,
,,,NCT03691623,,0,,21,0,Petechiae,,,
,,,NCT03691623,,0,,38,0,Skin mass,,,
,,,NCT03691623,,0,,38,0,Skin mass,,,
,,,NCT03691623,,0,,38,0,Skin mass,,,
,,,NCT03691623,,1,1,21,1,Skin mass,,,
,,,NCT03691623,,0,,21,0,Skin mass,,,
,,,NCT03691623,,0,,21,0,Skin mass,,,
,,,NCT03691623,,0,,38,0,Dysuria,,,
,,,NCT03691623,,0,,38,0,Dysuria,,,
,,,NCT03691623,,0,,38,0,Dysuria,,,
,,,NCT03691623,,0,,21,0,Dysuria,,,
,,,NCT03691623,,0,,21,0,Dysuria,,,
,,,NCT03691623,,1,1,21,1,Dysuria,,,
,,,NCT03691623,,0,,38,0,Micturition urgency,,,
,,,NCT03691623,,0,,38,0,Micturition urgency,,,
,,,NCT03691623,,0,,38,0,Micturition urgency,,,
,,,NCT03691623,,1,1,21,1,Micturition urgency,,,
,,,NCT03691623,,0,,21,0,Micturition urgency,,,
,,,NCT03691623,,0,,21,0,Micturition urgency,,,
,,,NCT03691623,,0,,38,0,Pollakiuria,,,
,,,NCT03691623,,0,,38,0,Pollakiuria,,,
,,,NCT03691623,,0,,38,0,Pollakiuria,,,
,,,NCT03691623,,1,1,21,1,Pollakiuria,,,
,,,NCT03691623,,0,,21,0,Pollakiuria,,,
,,,NCT03691623,,0,,21,0,Pollakiuria,,,
