,nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
237,NCT04359680,,4/20/20,,,2/5/21,4/20/20,4/24/20,Actual,,,,,,,2/5/21,2/8/21,Actual,13-May-20,Actual,5/13/20,Feb-21,2/28/21,29-Mar-21,Anticipated,3/29/21,29-Mar-21,Anticipated,3/29/21,,Interventional,,,Trial to Evaluate the Efficacy and Safety of Nitazoxanide (NTZ) for Pre- and Post Exposure Prophylaxis of COVID-19 and Other Viral Respiratory Illnesses (VRI) in Healthcare Workers and Others at Increased Risk of SARS-CoV-2 Infection,"A Randomized, Double-Blind, Placebo Controlled Trial to Evaluate the Efficacy and Safety of Nitazoxanide (NTZ) for Pre- and Post Exposure Prophylaxis of COVID-19 and Other Viral Respiratory Illnesses (VRI) in Healthcare Workers and Others at Increased Risk of SARS-CoV-2 Infection","Active, not recruiting",,Phase 3,1407,Actual,Romark Laboratories L.C.,,2,,,FALSE,,,,TRUE,TRUE,FALSE,,,,,,,,,,,23:54.6,23:54.6
238,NCT04424797,,6/5/20,,,4/18/22,6/8/20,6/11/20,Actual,,,,,,,4/18/22,4/25/22,Actual,13-Jul-20,Actual,7/13/20,Apr-22,4/30/22,31-Jul-22,Anticipated,7/31/22,31-Jul-22,Anticipated,7/31/22,,Interventional,,,Prone Positioning on Admission for Hospitalized COVID-19 Pneumonia Protocol,Prone Positioning on Admission for Hospitalized COVID-19 Pneumonia Protocol,Recruiting,,Not Applicable,100,Anticipated,Poudre Valley Health System,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,23:24.7,23:24.7
239,NCT04357743,,4/20/20,,,4/20/20,4/20/20,4/22/20,Actual,,,,,,,4/20/20,4/22/20,Actual,1-Apr-19,Actual,4/1/19,Apr-20,4/30/20,10-Feb-20,Actual,2/10/20,10-Jan-20,Actual,1/10/20,,Interventional,,,Pursed Lip Breathing With Arm Ergometry After Chin Supported Position in COPD Patients.,Effects of Pursed Lip Breathing With Arm Ergometry After Chin Supported Position in COPD Patients.,Completed,,Not Applicable,74,Actual,Riphah International University,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,,25:02.4,25:02.4
240,NCT04357925,,4/17/20,,,7/28/21,4/21/20,4/22/20,Actual,,,,,,,7/28/21,7/29/21,Actual,6-May-20,Actual,5/6/20,Jul-21,7/31/21,6-May-27,Anticipated,5/6/27,6-May-25,Anticipated,5/6/25,,Observational,QoLProstateMQ,,Quality of Life in Prostate Cancer Patients,Quality of Life in Prostate Cancer Patients: Challenges and Prospects for Reducing Disparities in the Caribbean,Recruiting,,,304,Anticipated,University Hospital Center of Martinique,,,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,,,25:08.0,25:08.0
241,NCT04356924,,4/15/20,,,8/30/21,4/19/20,4/22/20,Actual,,,,,,,8/30/21,9/1/21,Actual,1-Feb-22,Anticipated,2/1/22,Aug-21,8/31/21,10-Dec-23,Anticipated,12/10/23,10-Dec-22,Anticipated,12/10/22,,Interventional,,,Psychological Treatment to Support the Consequences of Cognitive Impairment,Evaluation of a Novel Psychological Intervention Tailored for Patients With Early Cognitive Impairment (PIPCI),Not yet recruiting,,Not Applicable,138,Anticipated,Karolinska Institutet,,3,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,25:35.1,25:35.1
242,NCT05286489,,3/1/22,,,3/9/22,3/9/22,3/18/22,Actual,,,,,,,3/9/22,3/18/22,Actual,Mar-22,Anticipated,3/31/22,Mar-22,3/31/22,May-22,Anticipated,5/31/22,May-22,Anticipated,5/31/22,,Interventional,,,Effects of Selected Exercise Program on Microcirculation and Lymphedema in Postmastectomy Patients,Effects of Selected Exercise Program on Microcirculation and Lymphedema in Postmastectomy Patients,Not yet recruiting,,Not Applicable,30,Anticipated,Cairo University,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,1 year after publication,the criteria will be assessed by the publication of the trial in an international journals.,,Yes,Data obtained through this study may be provided to qualified researchers with academic interest in bee venom or ulcer . we will share the results of this study within 1 year following publication.,02:29.9,02:29.9
243,NCT04354181,,4/8/20,,,8/3/21,4/16/20,4/21/20,Actual,,,,,,,8/3/21,8/5/21,Actual,24-Jul-20,Actual,7/24/20,Aug-21,8/31/21,31-Dec-23,Anticipated,12/31/23,31-Dec-22,Anticipated,12/31/22,,Observational,,,Urine Biomarker for Stone Recurrence,Characterising and Fingerprinting Biomarkers of Urolithiasis: A Case Control Study,Recruiting,,,80,Anticipated,Chinese University of Hong Kong,,,,,FALSE,,,,FALSE,FALSE,FALSE,,,,Samples With DNA,about 100 cc urine will be collected for the measurement of Biomarkers,,,,,,27:00.2,27:00.2
244,NCT04353596,,4/14/20,,,2/25/21,4/16/20,4/20/20,Actual,,,,,,,2/25/21,3/2/21,Actual,20-Apr-20,Actual,4/20/20,Feb-21,2/28/21,24-Feb-21,Actual,2/24/21,16-Feb-21,Actual,2/16/21,,Interventional,ACEI-COVID,,Stopping ACE-inhibitors in COVID-19,Stopping ACE-inhibitors in COVID-19: A Randomized Controlled Trial,Completed,,Phase 4,216,Actual,Medical University Innsbruck,,2,,,FALSE,,,,TRUE,TRUE,FALSE,,,TRUE,,,,,,Undecided,,27:20.7,27:20.7
245,NCT03865602,,3/5/19,,,4/19/22,3/5/19,3/7/19,Actual,,,,,,,4/19/22,4/25/22,Actual,29-Jan-19,Actual,1/29/19,Mar-22,3/31/22,31-Dec-21,Actual,12/31/21,31-Dec-20,Actual,12/31/20,,Interventional,IMPACTS,,Improving Morbidity During Post-Acute Care Transitions for Sepsis,Improving Morbidity During Post-Acute Care Transitions for Sepsis (IMPACTS): A Pragmatic Randomized Evaluation of Implementing Best Practice Care for Sepsis Survivors to Reduce Morbidity and Mortality,Completed,,Not Applicable,712,Actual,Wake Forest University Health Sciences,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,24:52.1,24:52.1
246,NCT04351724,,4/10/20,,,2/25/21,4/16/20,4/17/20,Actual,,,,,,,2/25/21,3/2/21,Actual,16-Apr-20,Actual,4/16/20,Feb-21,2/28/21,31-Mar-22,Anticipated,3/31/22,1-Dec-21,Anticipated,12/1/21,,Interventional,ACOVACT,,Austrian CoronaVirus Adaptive Clinical Trial (COVID-19),"A Multicenter, Randomized, Active Controlled, Open Label, Platform Trial on the Efficacy and Safety of Experimental Therapeutics for Patients With COVID-19 (Caused by Infection With Severe Acute Respiratory Syndrome Coronavirus-2)",Recruiting,,Phase 2/Phase 3,500,Anticipated,Medical University of Vienna,,14,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,Anonymized and pseudonymized data will be published in peer reviewed journals and may be presented at congresses and conferences,28:15.0,28:15.0
247,NCT04351789,,4/11/20,,,8/21/20,4/15/20,4/17/20,Actual,,,,,,,8/21/20,8/24/20,Actual,1-May-20,Actual,5/1/20,Aug-20,8/31/20,Apr-23,Anticipated,4/30/23,Apr-23,Anticipated,4/30/23,,Interventional,PISCA,,Impact of a Minimal Psychoeducational Intervention on Anxiety Among Hospitalized COVID-19 Patients in Denmark,Impact of a Minimal Psychoeducational Intervention Versus Standard of Care on Anxiety Among Hospitalized COVID-19 Patients in Denmark: a Randomized Clinical Trial,Recruiting,,Not Applicable,66,Anticipated,"Copenhagen University Hospital, Hvidovre",,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,Individual participant data will not be shared with other researchers due to regulatory restrictions.,28:18.1,28:18.1
248,NCT04351568,,4/14/20,,,6/1/20,4/15/20,4/17/20,Actual,,,,,,,6/1/20,6/2/20,Actual,1-Apr-20,Actual,4/1/20,Jun-20,6/30/20,Aug-20,Anticipated,8/31/20,Jul-20,Anticipated,7/31/20,,Observational,,,Professional and Ethical Challenges of Social Media Usage in Providing Healthcare Services During the Period of 19 Covid Pandemics;,Professional and Ethical Challenges of Social Media Usage in Providing Healthcare Services; During the Period of 19 Covid Pandemics,Unknown status,Recruiting,,874,Anticipated,Assiut University,,,2,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,,,28:34.9,28:34.9
249,NCT04350827,,4/15/20,,,9/23/21,4/15/20,4/17/20,Actual,,,,,,,9/23/21,9/27/21,Actual,25-Feb-20,Actual,2/25/20,Sep-21,9/30/21,25-Feb-23,Anticipated,2/25/23,25-Feb-22,Anticipated,2/25/22,,Interventional,,,PRP vs PRP Plus IGF for Patellar Tendinosis,Platelet-rich Plasma Versus Platelet-rich Plasma Plus Concentrated Insulin-like Growth Factor for Patellar Tendinosis: a Randomized Comparative Trial,Recruiting,,Not Applicable,38,Anticipated,Ohio State University,,2,,,FALSE,,,,FALSE,FALSE,TRUE,,,,,,,,,No,,28:49.6,28:49.6
250,NCT03640325,,8/15/18,,,4/18/22,8/17/18,8/21/18,Actual,,,,,,,4/18/22,4/25/22,Actual,1-Apr-19,Actual,4/1/19,Apr-22,4/30/22,31-Dec-23,Anticipated,12/31/23,31-Dec-22,Anticipated,12/31/22,,Interventional,,,The Promoting Resilience in Stress Management (PRISM) Intervention: a Multi-site Randomized Controlled Trial for Adolescents and Young Adults Receiving Hematopoietic Cell Transplantation,The Promoting Resilience in Stress Management (PRISM) Intervention: a Multi-site Randomized Controlled Trial for Adolescents and Young Adults Receiving Hematopoietic Cell Transplantation,Recruiting,,Phase 3,90,Anticipated,Seattle Children's Hospital,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,All IPD will be protected and maintained by the study team,25:33.1,25:33.1
251,NCT04350281,,4/13/20,,,7/27/20,4/13/20,4/17/20,Actual,,,,,,,7/27/20,7/28/20,Actual,9-Apr-20,Actual,4/9/20,Jul-20,7/31/20,7-Jul-20,Actual,7/7/20,1-Jul-20,Actual,7/1/20,,Interventional,,,Double Therapy With IFN-beta 1b and Hydroxychloroquine,"An Open-label Randomized Controlled Trial on Interferon β-1b and Hydroxychloroquine Combination Versus Hydroxychloroquine Alone, as Treatment for COVID-19 Infection",Completed,,Phase 2,60,Actual,The University of Hong Kong,,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,29:28.3,29:28.3
252,NCT03511690,,4/16/18,,,4/18/22,4/26/18,4/30/18,Actual,,,,,,,4/18/22,4/25/22,Actual,1-Jul-17,Actual,7/1/17,Apr-22,4/30/22,20-Feb-22,Actual,2/20/22,20-Feb-22,Actual,2/20/22,,Interventional,,,Testing an Intelligent Tutoring System to Enhance Genetic Risk Assessment,Testing an Intelligent Tutoring System Intervention to Enhance Genetic Risk Assessment in Underserved Blacks and Latinas at Risk of Hereditary Breast Cancer,Completed,,Not Applicable,95,Actual,Georgetown University,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,,,25:52.0,25:52.0
253,NCT04349748,,4/10/20,,,5/25/20,4/14/20,4/16/20,Actual,,,,,,,5/25/20,5/27/20,Actual,1-Jul-20,Anticipated,7/1/20,May-20,5/31/20,30-Jun-23,Anticipated,6/30/23,31-Dec-22,Anticipated,12/31/22,,Interventional,,,MHealth Intervention of HIV and STDs Partner Notification for MSM,The Effect of Providing mHealth Intervention of Partner Notification to Protect MSM From HIV and Sexually Transmitted Diseases Infection: a Pragmatic Stepped Wedge Cluster Randomized Controlled Trial,Not yet recruiting,,Not Applicable,6172,Anticipated,"National Institute on Drug Dependence, China",,4,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,Two years after the end of the trial,"Data applicants should send email to PI. Real personal basic information (name, unit, title, etc.), detailed description of required data (required variables,etc.), and research plan should be included in the email. Our team will discuss the research proposal and reply as soon as possible",,Yes,"Study Protocol,part of study report and data will be published in journals;
Researchers can contact the principal investigator(PI:ZhongweiJia) for IPD through email two years after the end of the trial.",29:42.6,29:42.6
254,NCT04349527,,4/5/20,,,4/18/20,4/15/20,4/16/20,Actual,,,,,,,4/18/20,4/21/20,Actual,18-Apr-20,Actual,4/18/20,Apr-20,4/30/20,5-Apr-27,Anticipated,4/5/27,5-Apr-22,Anticipated,4/5/22,,Observational,,,"Comparison of the Cosmetic Results, Quality of Life and Patient Satisfaction Achieved With Round-block and Retroglandular Oncoplastic Breast Conserving Surgeries","Comparison of the Cosmetic Results, Quality of Life and Patient Satisfaction Achieved With Round-block and Retroglandular Oncoplastic Breast Conserving Surgeries. Response-adaptive (RAR) Prospective Randomised, Comperative Clinical Study",Recruiting,,,242,Anticipated,"National Institute of Oncology, Hungary",,,2,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,29:50.4,29:50.4
255,NCT03459625,,2/28/18,,,4/21/22,3/7/18,3/9/18,Actual,,,,,,,4/21/22,4/25/22,Actual,21-Jul-18,Actual,7/21/18,Apr-22,4/30/22,May-23,Anticipated,5/31/23,May-23,Anticipated,5/31/23,,Interventional,ASD,,Mindfulness for Parents of Children With Autism Spectrum Disorder Autism Spectrum Disorder,Mindfulness and Parent Stress Reduction: Improving Outcomes for Children With Autism Spectrum Disorder,Recruiting,,Not Applicable,138,Anticipated,Loma Linda University,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,,26:04.3,26:04.3
256,NCT04348370,,3/30/20,,,10/5/21,4/14/20,4/16/20,Actual,,,,,,,10/5/21,10/6/21,Actual,20-Apr-20,Actual,4/20/20,Oct-21,10/31/21,May-22,Anticipated,5/31/22,May-22,Anticipated,5/31/22,,Interventional,BADAS,,BCG Vaccine for Health Care Workers as Defense Against COVID 19,Bacillus Calmette-Guerin Vaccination as Defense Against SARS-CoV-2: A Randomized Controlled Trial to Protect Health Care Workers by Enhanced Trained Immune Responses,"Active, not recruiting",,Phase 4,1800,Anticipated,Texas A&M University,,2,,,FALSE,,,,TRUE,TRUE,FALSE,,,FALSE,,,,,,No,There is not a plan to make IPD available.,30:23.2,30:23.2
257,NCT04347798,,4/13/20,,,6/2/20,4/13/20,4/15/20,Actual,,,,,,,6/2/20,6/4/20,Actual,Sep-20,Anticipated,9/30/20,Jun-20,6/30/20,Apr-21,Anticipated,4/30/21,Apr-21,Anticipated,4/30/21,12 Months,Observational [Patient Registry],IMPACT,,IMPACT: IMPact of Antimalarials on Covid-19 Infections in RAPPORT,IMPACT RAPPORT: IMPact of Antimalarials on Covid Infections: a Case Control sTudy of RAPPORT,Unknown status,Enrolling by invitation,,500,Anticipated,University of Alberta,,,2,,FALSE,,,,FALSE,,,,,,Samples Without DNA,"Blood sample for Covid-19 serology, ABO blood type, HLA typing",,,,,,30:49.2,30:49.2
258,NCT04347395,,4/14/20,,,10/6/20,4/14/20,4/15/20,Actual,,,,,,,10/6/20,10/8/20,Actual,29-Jan-16,Actual,1/29/16,Oct-20,10/31/20,14-Jul-20,Actual,7/14/20,9-Jul-20,Actual,7/9/20,,Interventional,,,Respiratory Infection in Older Patients,Prevention of Respiratory Infections in Older Patients During and After Hospitalisation: A Randomised Controlled Trial,Completed,,Not Applicable,123,Actual,Changi General Hospital,,2,,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,30:57.7,30:57.7
259,NCT04291651,,2/26/20,,,8/30/21,2/27/20,3/2/20,Actual,,,,,,,8/30/21,9/1/21,Actual,8-Oct-19,Actual,10/8/19,Aug-21,8/31/21,1-Jan-30,Anticipated,1/1/30,1-Jan-30,Anticipated,1/1/30,10 Years,Observational [Patient Registry],UCSF PCR,,UCSF Panc Cyst Registry,Population-Based Analysis of Neoplastic Changes in Cystic Lesions of the Pancreas.,Recruiting,,,4000,Anticipated,"University of California, San Francisco",,,2,,FALSE,,,,FALSE,FALSE,FALSE,,,,Samples With DNA,"Patients in this study will have the option of donating blood for biobanking, approximately 10cc of plasma and 10cc of serum. Patients will also have the opportunity to donate a saliva sample at the time of study registration, or at a later date.

Further, samples that are routinely collected for diagnostic purposes may be collected and banked at the time of their clinically routine procedure. If a patient consents to the use of extra material for research purposes, the biological samples will be banked and the blood, and/or pancreatic juice/cystic fluid, tissues, and saliva will be used for identification and characterization of potential biomarkers from de-identified samples.",,,,No,,02:36.4,02:36.4
260,NCT02694003,,8/25/15,,,4/22/22,2/23/16,2/29/16,Estimate,,,,,,,4/22/22,4/25/22,Actual,10-Jun-19,Actual,6/10/19,Apr-22,4/30/22,May-22,Anticipated,5/31/22,May-22,Anticipated,5/31/22,,Interventional,BNBD-NDD,,"Better Nights, Better Days for Children With Neurodevelopment Disorders","Development, Implementation, and Evaluation of an Internet-based Behavioural Sleep Intervention for Children With NDD and Insomnia","Active, not recruiting",,Not Applicable,218,Actual,IWK Health Centre,,2,,,FALSE,,,,TRUE,FALSE,FALSE,,,,,,,,,No,"This trial will be reported at a group level only, not individual participant level.",27:05.2,27:05.2
261,NCT04345016,,4/7/20,,,4/9/20,4/9/20,4/14/20,Actual,,,,,,,4/9/20,4/14/20,Actual,13-Apr-17,Actual,4/13/17,Apr-20,4/30/20,30-Nov-19,Actual,11/30/19,30-Nov-19,Actual,11/30/19,,Interventional,,,Impact of Remote Foot Temperature Monitoring,Remote Monitoring of Healed Diabetic Foot Ulcers With Podimetrics Temperature Monitoring System for Prevention of Diabetic Foot Ulcers,Completed,,Not Applicable,79,Actual,"Podimetrics, Inc.",,1,,,FALSE,,,,FALSE,FALSE,TRUE,,,FALSE,,,Data will be available beginning after peer review and publication.,"Data may be used for research purposes only. No commercial use permitted. It is available upon reasonable request of the Study Official (Adam Isaac, DPM) contingent upon approval by Kaiser Permanente Mid-Atlantic Permanente Research Institute.",,Yes,"Data will be available upon reasonable request for research purposes by request to the Study Official (Adam Isaac, DPM) contingent upon approval by Kaiser Permanente Mid-Atlantic Permanente Research Institute.",32:41.3,32:41.3
262,NCT02351180,,1/26/15,1/18/22,,2/8/22,1/26/15,1/30/15,Estimate,2/8/22,3/3/22,Actual,,,,2/8/22,3/3/22,Actual,1-Feb-17,Actual,2/1/17,Jan-22,1/31/22,31-Jan-21,Actual,1/31/21,31-Jan-21,Actual,1/31/21,,Interventional,,,Inhaled Beclomethasone After Community-Acquired Respiratory Viral Infection in Lung Transplant Recipients,A Randomized Placebo Controlled Trial of Inhaled Beclomethasone After Community-acquired Respiratory Viral Infection in Lung Transplant Recipients,Completed,,Phase 1/Phase 2,16,Actual,Washington University School of Medicine,,2,,,FALSE,,,,FALSE,TRUE,FALSE,,,FALSE,,,,,,No,There is no plan to share IPD,31:57.9,31:57.9
263,NCT01029717,,12/9/09,,,2/15/22,12/9/09,12/10/09,Estimate,,,,,,,2/15/22,3/3/22,Actual,Dec-10,Actual,12/31/10,Feb-22,2/28/22,Nov-12,Actual,11/30/12,Nov-12,Actual,11/30/12,,Interventional,,,CATCH - Catheter Infections in Children,A Randomised Controlled Trial Comparing the Effectiveness of Heparin Bonded or Antibiotic Impregnated Central Venous Catheters (CVCs) With Standard CVCs for the Prevention of Hospital Acquired Blood Stream Infection in Children,Completed,,Phase 3,1859,Actual,Institute of Child Health,,3,,,FALSE,,,,FALSE,,,,,,,,,,,,,34:41.6,34:41.6
264,NCT04341519,,4/7/20,,,10/5/20,4/7/20,4/10/20,Actual,,,,,,,10/5/20,10/6/20,Actual,6-Apr-20,Actual,4/6/20,Oct-20,10/31/20,31-Dec-21,Anticipated,12/31/21,30-Nov-20,Anticipated,11/30/20,,Observational,BURDENCOV,,"Psychological Burden in ICU Survivors of Severe COVID-19 Pneumonia, Their Relatives and Their Healthcare Providers","""Psychological Burden in ICU Survivors of Severe COVID-19 Pneumonia, Their Relatives and Their Healthcare Providers"" ""Impact Psychologique de l'épidémie COVID-19 Chez Les Patients, Familles et Soignants de Reanimation"" ""BURDENCOV""",Recruiting,,,1464,Anticipated,Assistance Publique - Hôpitaux de Paris,,,3,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,Undecided,,34:20.1,34:20.1
265,NCT04341727,,4/4/20,,,10/5/21,4/8/20,4/10/20,Actual,,,,,,,10/5/21,10/7/21,Actual,4-Apr-20,Actual,4/4/20,Oct-21,10/31/21,1-Apr-21,Actual,4/1/21,1-Apr-21,Actual,4/1/21,,Interventional,WU352,,"Hydroxychloroquine,Hydroxychloroquine,Azithromycin in the Treatment of SARS CoV-2 Infection","WU 352: Open-label, Randomized Controlled Trial of Hydroxychloroquine Alone or Hydroxychloroquine Plus Azithromycin or Chloroquine Alone or Chloroquine Plus Azithromycin in the Treatment of SARS CoV-2 Infection",Terminated,,Phase 3,31,Actual,Washington University School of Medicine,,4,,DSMB recommended study suspension slow accrual,FALSE,,,,FALSE,TRUE,FALSE,,,FALSE,,,,,,No,,34:27.2,34:27.2
266,NCT04341285,,3/30/20,,,6/4/21,4/7/20,4/10/20,Actual,,,,,,,6/4/21,6/9/21,Actual,1-Aug-20,Anticipated,8/1/20,Jun-20,6/30/20,1-May-22,Anticipated,5/1/22,1-Apr-22,Anticipated,4/1/22,,Interventional,ECMO-VID,,Early Versus Late ECMO Therapy in COVID-19 Induced ARDS (ECMO-VID),Early Versus Late ECMO Therapy in COVID-19 Induced ARDS (ECMO-VID),Withdrawn,,Not Applicable,0,Actual,University Hospital Tuebingen,,2,,study protocol was changed to include non-COVID patients and registered under a different ID,FALSE,,,,TRUE,FALSE,FALSE,,,FALSE,,,,,,Undecided,,34:34.6,34:34.6
267,NCT04340960,,3/24/20,,,4/7/20,4/7/20,4/10/20,Actual,,,,,,,4/7/20,4/10/20,Actual,1-Apr-20,Anticipated,4/1/20,Apr-20,4/30/20,2-Jun-22,Anticipated,6/2/22,1-Apr-22,Anticipated,4/1/22,,Interventional,,,Home Monitoring for Thoracic Surgery Patients,Effect of Continuity of Care With Digital Home Monitoring on Postoperative Outcomes in Patients Undergoing Thoracic Surgery: A Randomized Controlled Trial (CDHM: RCT),Unknown status,Not yet recruiting,Phase 2/Phase 3,80,Anticipated,"Western University, Canada",,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,34:46.4,34:46.4
268,NCT04339816,,4/6/20,,,11/5/20,4/6/20,4/9/20,Actual,,,,,,,11/5/20,11/6/20,Actual,13-May-20,Actual,5/13/20,Nov-20,11/30/20,4-Nov-20,Actual,11/4/20,4-Nov-20,Actual,11/4/20,,Interventional,AZIQUINE-ICU,,Azithromycin Added to Hydrochloroquine in Patients Admitted to Intensive Care With COVID-19: Randomised Controlled Trial,Azithromycin Added to Hydrochloroquine in Patients Admitted to Intensive Care Due to Coronavirus Disease 2019 (COVID-19)- Randomised Controlled Trial,Terminated,,Phase 3,3,Actual,"Charles University, Czech Republic",,3,,Steering Committee decision in accordance with stopping rule 1: Emergence of new data,FALSE,,,,FALSE,FALSE,FALSE,,,,,,within 6 months of study completion,,http://mendeley.com,Yes,Deidentified record-level data will be shared in a public database,35:20.6,35:20.6
269,NCT02704897,,3/2/16,,,2/11/19,3/4/16,3/10/16,Estimate,,,,,,,2/11/19,2/15/19,Actual,Jul-16,,7/31/16,Feb-19,2/28/19,Jul-19,Anticipated,7/31/19,Jun-19,Anticipated,6/30/19,,Interventional,TWIST,,Tracking Wound Infection With Smartphone Technology,"Can a Smartphone-delivered Tool Facilitate the Assessment of Surgical Site Infection, and Result in Earlier Treatment? A Randomized-controlled Trial in Emergency Surgery Patients.",Unknown status,Recruiting,Not Applicable,500,Anticipated,University of Edinburgh,,2,,,FALSE,,,,FALSE,,,,,,,,,,,No,,36:28.0,36:28.0
270,NCT04337918,,4/6/20,,,2/8/21,4/6/20,4/8/20,Actual,,,,,,,2/8/21,2/10/21,Actual,8-May-20,Actual,5/8/20,Feb-21,2/28/21,2-Feb-21,Actual,2/2/21,31-Jan-21,Actual,1/31/21,,Interventional,NOCOVID,,Nitric Oxide Releasing Solutions to Prevent and Treat Mild/Moderate COVID-19 Infection,"Multi-Center, Randomized, Controlled, Phase II Clinical Efficacy Study Evaluating Nitric Oxide Releasing Solution Treatment for the Prevention and Treatment of COVID-19 in Healthcare Workers and Individuals at Risk of Infection",Completed,,Phase 2,143,Actual,Sanotize Research and Development corp.,,3,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,36:33.7,36:33.7
271,NCT02704533,,3/1/16,,,1/31/19,3/4/16,3/10/16,Estimate,,,,,,,1/31/19,2/1/19,Actual,29-Aug-16,Actual,8/29/16,Jan-19,1/31/19,Dec-18,Actual,12/31/18,19-Oct-18,Actual,10/19/18,,Interventional,,,Sequential Optimization of Dose and Schedule of PfSPZ Vaccine,"Sequential Optimization of Dose and Schedule of PfSPZ Vaccine, Verified by Randomized, Controlled, Double-blind Immunization and Controlled Human Malaria Infection in Malaria-naïve, Healthy Adult Volunteers in Germany",Completed,,Phase 1,45,Actual,Sanaria Inc.,,13,,,FALSE,,,,FALSE,,,,,,,,,,,,,36:44.3,36:44.3
272,NCT04337385,,3/30/20,,,5/20/21,4/3/20,4/7/20,Actual,,,,,,,5/20/21,5/25/21,Actual,4-Mar-20,Actual,3/4/20,May-21,5/31/21,13-Mar-20,Actual,3/13/20,13-Mar-20,Actual,3/13/20,,Interventional,,,Interrupting Sitting With High Intensity Exercise on Vascular Function in Adolescents Before and After a Mixed Meal,The Effect of Prolonged vs. Interrupted Sitting With High Intensity Interval Exercise on Lower Limb Vascular Function in Adolescents Before and After a Mixed Meal,Terminated,,Not Applicable,6,Actual,University of Exeter,,2,,COVID-19 resulted in laboratory closures and the student has changed their research project in order to progress in their degree.,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,,,36:46.7,36:46.7
273,NCT04337541,,4/2/20,,,7/29/20,4/5/20,4/7/20,Actual,,,,,,,7/29/20,8/3/20,Actual,2-Apr-20,Actual,4/2/20,Jul-20,7/31/20,2-Jun-20,Actual,6/2/20,2-Jun-20,Actual,6/2/20,,Interventional,,,Reduction in COVID-19 Infection Using Surgical Facial Masks Outside the Healthcare System,Reduction in COVID-19 Infection Using Surgical Facial Masks Outside the Healthcare System,Completed,,Not Applicable,6000,Actual,"Rigshospitalet, Denmark",,2,,,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,,No,,36:48.6,36:48.6
274,NCT04335786,,4/2/20,,,9/19/21,4/2/20,4/6/20,Actual,,,,,,,9/19/21,9/24/21,Actual,17-Apr-20,Actual,4/17/20,Apr-20,4/30/20,25-May-21,Actual,5/25/21,25-May-21,Actual,5/25/21,,Interventional,,,Valsartan for Prevention of Acute Respiratory Distress Syndrome in Hospitalized Patients With SARS-COV-2 (COVID-19) Infection Disease,"PRAETORIAN-COVID: A Double-blind, Placebo-controlled Randomized Clinical Trial With Valsartan for PRevention of Acute rEspiraTORy dIstress Syndrome in hospitAlized patieNts With SARS-COV-2 (COVID-19) Infection Disease",Terminated,,Phase 4,23,Actual,Radboud University Medical Center,,2,,Enrollment was stopped to facilitate successful enrollment for the ACE2RAS-domain of the REMAP-CAP trial.,FALSE,,,,TRUE,FALSE,FALSE,,,FALSE,,,,,,,,37:48.3,37:48.3
